9780131103627, Fundamentals of Computing, 3
1, P, 01-10-2025
2, D, 03-10-2025
3, P, 05-10-2025

9780262033848, Advanced Algorithms, 2
1, D, 02-10-2025
2, P, 04-10-2025

9780134685991, Modern Java Practices, 4
1, P, 01-10-2025
2, P, 02-10-2025
3, D, 03-10-2025
4, P, 05-10-2025

9781492056305, Cloud Native Systems, 3
1, D, 01-10-2025
2, P, 03-10-2025
3, P, 05-10-2025

9780132350884, Clean Architecture Essentials, 2
1, P, 02-10-2025
2, D, 04-10-2025

9780131101630, Unix Programming Basics, 2
1, D, 01-10-2025
2, P, 05-10-2025

9780321751041, Calculus for Engineers, 3
1, P, 02-10-2025
2, D, 03-10-2025
3, P, 05-10-2025

9780135957059, Software Engineering Patterns, 2
1, P, 01-10-2025
2, D, 04-10-2025

9780262046305, AI Foundations, 3
1, D, 02-10-2025
2, P, 03-10-2025
3, P, 05-10-2025

9781491900869, Data Science in Action, 2
1, P, 01-10-2025
2, D, 05-10-2025

9780131479418, Compilers: A Practical Approach, 3
1, P, 02-10-2025
2, D, 03-10-2025
3, P, 04-10-2025

9780131872486, Discrete Mathematics Toolbox, 2
1, D, 01-10-2025
2, P, 05-10-2025

9780134494166, Microservices Design, 3
1, P, 01-10-2025
2, P, 03-10-2025
3, D, 04-10-2025

9780134787961, Operating Systems Insights, 2
1, D, 02-10-2025
2, P, 05-10-2025

9780134743356, Networking Principles, 3
1, P, 01-10-2025
2, D, 03-10-2025
3, P, 04-10-2025

9780133928723, Database Design Handbook, 2
1, D, 01-10-2025
2, P, 05-10-2025

9780132121361, Programming Paradigms, 2
1, P, 02-10-2025
2, D, 04-10-2025

9780201633610, Object-Oriented Design, 3
1, P, 01-10-2025
2, D, 03-10-2025
3, P, 05-10-2025

9780596009205, Learning Python Quickly, 3
1, D, 02-10-2025
2, P, 04-10-2025
3, P, 05-10-2025
